Comment,Designator,Footprint,LCSC
1N4148,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D61,D62,D63,D64,D65,D66,D7,D8,D9",D_DO-35_SOD27_P7.62mm_Horizontal,C81598
1u,SW53,Kailh_socket_MX_optional,
1u,SW25,Kailh_socket_MX_optional,
1u,SW16,Kailh_socket_MX_optional,
1u,SW21,Kailh_socket_MX_optional,
1u,SW37,Kailh_socket_MX_optional,
1u,SW5,Kailh_socket_MX_optional,
1u,SW33,Kailh_socket_MX_optional,
1u,SW13,Kailh_socket_MX_optional,
1u,SW10,Kailh_socket_MX_optional,
1.25u,SW63,Kailh_socket_MX_optional,
1u,SW18,Kailh_socket_MX_optional,
1u,SW52,Kailh_socket_MX_optional,
1u,SW56,Kailh_socket_MX_optional,
1u,SW45,Kailh_socket_MX_optional,
1u,SW43,Kailh_socket_MX_optional,
1.25u,SW62,Kailh_socket_MX_optional,
1u,SW29,Kailh_socket_MX,
1u,SW36,Kailh_socket_MX_optional,
2.25u,SW42,Kailh_socket_MX_optional,
1u,SW27,Kailh_socket_MX_optional,
1u,SW2,Kailh_socket_MX_optional,
1u,SW35,Kailh_socket_MX_optional,
1u,SW31,Kailh_socket_MX_optional,
MX_stab,S4,STAB_MX_2.25u,
1u,SW41,Kailh_socket_MX_optional,
1u,SW49,Kailh_socket_MX_optional,
1u,SW12,Kailh_socket_MX_optional,
1u,SW54,Kailh_socket_MX_optional,
1.5u,SW28,Kailh_socket_MX_optional,
1u,SW17,Kailh_socket_MX_optional,
1u,SW24,Kailh_socket_MX_optional,
1u,SW64,Kailh_socket_MX_optional,
MX_stab,S2,STAB_MX_2u,
1.5u,SW15,Kailh_socket_MX_optional,
1u,SW66,Kailh_socket_MX_optional,
1u,SW65,Kailh_socket_MX_optional,
2.25u,SW44,Kailh_socket_MX_optional,
1u,SW26,Kailh_socket_MX_optional,
1u,SW19,Kailh_socket_MX_optional,
MX_stab,S3,STAB_MX_2.25u,
1u,SW6,Kailh_socket_MX_optional,
1u,SW3,Kailh_socket_MX_optional,
1u,SW48,Kailh_socket_MX_optional,
1u,SW32,Kailh_socket_MX_optional,
1u,SW20,Kailh_socket_MX_optional,
6.25u,SW61,Kailh_socket_MX_optional,
1u,SW57,Kailh_socket_MX_optional,
2u,SW14,Kailh_socket_MX_optional,
1.25u,SW59,Kailh_socket_MX_optional,
1u,SW34,Kailh_socket_MX_optional,
1.75u,SW30,Kailh_socket_MX_optional,
1u,SW23,Kailh_socket_MX_optional,
1u,SW11,Kailh_socket_MX_optional,
1u,SW1,Kailh_socket_MX_optional,
1.75u,SW55,Kailh_socket_MX_optional,
1u,SW39,Kailh_socket_MX_optional,
1u,SW40,Kailh_socket_MX_optional,
1u,SW22,Kailh_socket_MX_optional,
1u,SW9,Kailh_socket_MX_optional,
1u,SW50,Kailh_socket_MX_optional,
1u,SW4,Kailh_socket_MX_optional,
1.25u,SW58,Kailh_socket_MX_optional,
1u,SW46,Kailh_socket_MX_optional,
MX_stab,S1,STAB_MX_6.25u,
1u,SW38,Kailh_socket_MX_optional,
1u,SW8,Kailh_socket_MX_optional,
1u,SW51,Kailh_socket_MX_optional,
1.25u,SW60,Kailh_socket_MX_optional,
1u,SW7,Kailh_socket_MX_optional,
1u,SW47,Kailh_socket_MX_optional,
RP2040-Zero,RZ1,RP2040-Zero,
