Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,47.61,-41.7425,90.0,bottom
D2,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,66.66,-41.7425,90.0,bottom
D3,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,85.71,-41.7425,90.0,bottom
D4,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,104.76,-41.7425,90.0,bottom
D5,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,123.81,-41.7425,90.0,bottom
D6,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,142.86,-41.7425,90.0,bottom
D7,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,161.91,-41.7425,90.0,bottom
D8,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,180.96,-41.7425,90.0,bottom
D9,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,200.01,-41.7425,90.0,bottom
D10,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,219.06,-41.7425,90.0,bottom
D11,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,238.11,-41.7425,90.0,bottom
D12,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,257.16,-41.7425,90.0,bottom
D13,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,276.21,-41.7425,90.0,bottom
D14,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,280.2163,-39.4525,90.0,bottom
D15,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,52.3725,-60.7925,90.0,bottom
D16,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,76.185,-60.7925,90.0,bottom
D17,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,95.235,-60.7925,90.0,bottom
D18,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,114.285,-60.7925,90.0,bottom
D19,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,133.335,-60.7925,90.0,bottom
D20,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,152.385,-60.7925,90.0,bottom
D21,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,171.435,-60.7925,90.0,bottom
D22,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,190.485,-60.7925,90.0,bottom
D23,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,209.535,-60.7925,90.0,bottom
D24,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,228.585,-60.7925,90.0,bottom
D25,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,247.635,-60.7925,90.0,bottom
D26,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,266.685,-60.7925,90.0,bottom
D27,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,285.735,-60.7925,90.0,bottom
D28,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,309.5475,-60.7925,90.0,bottom
D29,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,315.1413,-60.725,270.0,bottom
D30,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,54.7538,-79.8425,90.0,bottom
D31,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,80.9475,-79.8425,90.0,bottom
D32,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,99.9975,-79.8425,90.0,bottom
D33,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,119.0475,-79.8425,90.0,bottom
D34,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,138.0975,-79.8425,90.0,bottom
D35,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,157.1475,-79.8425,90.0,bottom
D36,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,176.1975,-79.8425,90.0,bottom
D37,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,195.2475,-79.8425,90.0,bottom
D38,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,214.2975,-79.8425,90.0,bottom
D39,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,233.3475,-79.8425,90.0,bottom
D40,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,252.3975,-79.8425,90.0,bottom
D41,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,271.4475,-79.8425,90.0,bottom
D42,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,311.9663,-77.5525,90.0,bottom
D43,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,327.2063,-68.0275,0.0,bottom
D44,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,69.0788,-96.6025,90.0,bottom
D45,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,90.4725,-98.8925,90.0,bottom
D46,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,109.5225,-98.8925,90.0,bottom
D47,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,128.5725,-98.8925,90.0,bottom
D48,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,147.6225,-98.8925,90.0,bottom
D49,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,166.6725,-98.8925,90.0,bottom
D50,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,185.7225,-98.8925,90.0,bottom
D51,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,204.7725,-98.8925,90.0,bottom
